dport,sport,protocol,flags,time bw prev packet,spkts,dpkts,pkt_len,ttl,payload size,label
56664,22,6,A,0.0011227130889892578,32,0,0,64,224,ssh-bruteforce
22,56712,6,PA,0.0025060176849365234,0,55,23,64,224,ssh-bruteforce
56712,22,6,A,0.0009529590606689453,32,0,0,64,224,ssh-bruteforce
22,56706,6,PA,0.0009405612945556641,0,55,23,64,224,ssh-bruteforce
56706,22,6,A,0.000993490219116211,32,0,0,64,224,ssh-bruteforce
22,56720,6,PA,0.0009558200836181641,0,55,23,64,224,ssh-bruteforce
56720,22,6,A,0.0011773109436035156,32,0,0,64,224,ssh-bruteforce
22,56780,6,A,0.0018575191497802734,0,32,0,64,224,ssh-bruteforce
22,56780,6,PA,0.0009126663208007812,0,55,23,64,224,ssh-bruteforce
56780,22,6,A,0.0009350776672363281,32,0,0,64,224,ssh-bruteforce
22,56644,6,A,0.002111196517944336,0,32,0,64,224,ssh-bruteforce
22,56644,6,PA,0.0010280609130859375,0,55,23,64,224,ssh-bruteforce
56644,22,6,A,0.002840757369995117,32,0,0,64,224,ssh-bruteforce
22,56688,6,A,0.0009281635284423828,0,32,0,64,224,ssh-bruteforce
22,56704,6,A,0.0008985996246337891,0,32,0,64,224,ssh-bruteforce
22,56750,6,A,0.0009012222290039062,0,32,0,64,224,ssh-bruteforce
22,56756,6,A,0.0024261474609375,0,32,0,64,224,ssh-bruteforce
22,56688,6,PA,0.0009126663208007812,0,55,23,64,224,ssh-bruteforce
56688,22,6,A,0.0009429454803466797,32,0,0,64,224,ssh-bruteforce
22,56750,6,PA,0.0008957386016845703,0,55,23,64,224,ssh-bruteforce
56750,22,6,A,0.0009469985961914062,32,0,0,64,224,ssh-bruteforce
22,56756,6,PA,0.0011141300201416016,0,55,23,64,224,ssh-bruteforce
56756,22,6,A,0.001210927963256836,32,0,0,64,224,ssh-bruteforce
22,56704,6,PA,0.0012259483337402344,0,55,23,64,224,ssh-bruteforce
56704,22,6,A,0.0010709762573242188,32,0,0,64,224,ssh-bruteforce
56668,22,6,PA,0.0016255378723144531,73,0,41,64,224,ssh-bruteforce
56706,22,6,PA,0.0020546913146972656,73,0,41,64,224,ssh-bruteforce
56780,22,6,PA,0.0009450912475585938,54,0,22,64,224,ssh-bruteforce
