dport,sport,protocol,tcp_flags,time bw prev packet,pkt_len,ttl,payload size,label
22,22,tcp,PA,0.0030562877655029297,904,64,248,ssh-bruteforce
22,22,tcp,PA,0.0008063316345214844,23,64,248,ssh-bruteforce
22,22,tcp,PA,0.0004150867462158203,48,64,248,ssh-bruteforce
22,22,tcp,S,0.004912137985229492,0,64,248,ssh-bruteforce
22,22,tcp,A,0.00194549560546875,0,64,248,ssh-bruteforce
22,22,tcp,PA,0.0004932880401611328,23,64,248,ssh-bruteforce
22,22,tcp,A,0.00032448768615722656,0,64,248,ssh-bruteforce
22,22,tcp,A,0.00589442253112793,0,64,248,ssh-bruteforce
22,22,tcp,PA,0.007460117340087891,904,64,248,ssh-bruteforce
22,22,tcp,S,0.00041747093200683594,0,64,248,ssh-bruteforce
22,22,tcp,A,0.00036263465881347656,0,64,248,ssh-bruteforce
22,22,tcp,PA,0.00035953521728515625,23,64,248,ssh-bruteforce
22,22,tcp,S,0.0004088878631591797,0,64,248,ssh-bruteforce
22,22,tcp,A,0.0003540515899658203,0,64,248,ssh-bruteforce
22,22,tcp,PA,0.0003554821014404297,23,64,248,ssh-bruteforce
22,22,tcp,PA,0.000396728515625,16,64,248,ssh-bruteforce
22,22,tcp,S,0.016501903533935547,0,64,248,ssh-bruteforce
22,22,tcp,A,0.0018050670623779297,0,64,248,ssh-bruteforce
22,22,tcp,S,0.005270481109619141,0,64,248,ssh-bruteforce
22,22,tcp,PA,0.0005137920379638672,23,64,248,ssh-bruteforce
22,22,tcp,A,0.0004730224609375,0,64,248,ssh-bruteforce
22,22,tcp,PA,0.00047969818115234375,23,64,248,ssh-bruteforce
22,22,tcp,A,0.0012371540069580078,0,64,248,ssh-bruteforce
22,22,tcp,PA,0.0027742385864257812,904,64,248,ssh-bruteforce
22,22,tcp,PA,0.0038640499114990234,76,64,248,ssh-bruteforce
22,22,tcp,PA,0.004115581512451172,48,64,248,ssh-bruteforce
22,22,tcp,A,0.0003299713134765625,0,64,248,ssh-bruteforce
22,22,tcp,PA,0.00025463104248046875,904,64,248,ssh-bruteforce
22,22,tcp,PA,0.0002956390380859375,48,64,248,ssh-bruteforce
22,22,tcp,PA,0.00028324127197265625,44,64,248,ssh-bruteforce
22,22,tcp,A,0.0003781318664550781,0,64,248,ssh-bruteforce
22,22,tcp,PA,0.00027179718017578125,904,64,248,ssh-bruteforce
22,22,tcp,PA,0.0002911090850830078,60,64,248,ssh-bruteforce
22,22,tcp,PA,0.00030541419982910156,48,64,248,ssh-bruteforce
22,22,tcp,PA,0.0002791881561279297,48,64,248,ssh-bruteforce
22,22,tcp,PA,0.00028896331787109375,76,64,248,ssh-bruteforce
22,22,tcp,A,0.014038801193237305,0,64,248,ssh-bruteforce
22,22,tcp,PA,0.0035500526428222656,904,64,248,ssh-bruteforce
22,22,tcp,PA,0.0069310665130615234,16,64,248,ssh-bruteforce
22,22,tcp,PA,0.006756782531738281,44,64,248,ssh-bruteforce
22,22,tcp,PA,0.00051116943359375,16,64,248,ssh-bruteforce
22,22,tcp,PA,0.0005931854248046875,60,64,248,ssh-bruteforce
22,22,tcp,PA,0.0061151981353759766,44,64,248,ssh-bruteforce
22,22,tcp,PA,0.0004734992980957031,60,64,248,ssh-bruteforce
22,22,tcp,PA,0.0005695819854736328,16,64,248,ssh-bruteforce
22,22,tcp,PA,0.008370161056518555,48,64,248,ssh-bruteforce
22,22,tcp,PA,0.006377696990966797,76,64,248,ssh-bruteforce
22,22,tcp,A,0.006979942321777344,0,64,248,ssh-bruteforce
22,22,tcp,PA,0.001953601837158203,904,64,248,ssh-bruteforce
22,22,tcp,A,0.0025424957275390625,0,64,248,ssh-bruteforce
22,22,tcp,PA,0.004801273345947266,904,64,248,ssh-bruteforce
22,22,tcp,PA,0.00047469139099121094,76,64,248,ssh-bruteforce
22,22,tcp,A,0.0008916854858398438,0,64,248,ssh-bruteforce
22,22,tcp,PA,0.0011167526245117188,904,64,248,ssh-bruteforce
